,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
20404,f,"['yes', 'window', 'seat', 'cold', 'stinky', 'proximity', 'bathroom', 'toilets', 'need', 'swapped', 'blue', 'liquid', 'flush', 'toilets', 'vacuum', 'type']",0.8838000297546387,"['airline', 'seat', 'hawaiian_airlines', 'route', 'ive_flown', 'year', '18_years', 'seat', 'loook', 'airline']",10,"['hawaiian_airlines', 'seat', 'loook', '18_years', 'ive_flown', 'airline', 'year', 'route']",8,"flight, plane, american_airlines, crew, people, airline, class, airport, problem, food"
12443,f,"['seat', 'fine', 'entertainment', 'didnt', 'function', 'properly', 'times', 'foot', 'room', 'space', 'extended', 'bed', 'limited', 'bulk', 'head', 'seats', 'room', 'feet']",0.34630000591278076,"['seat', 'extra_legroom', 'way', 'cabin', 'person', 'food_served', 'plane', 'allot', 'wear_tear', 'beg', 'route', 'cabin_crew_friendly_attentive', 'request']",13,"['seat', 'food_served', 'cabin_crew_friendly_attentive', 'wear_tear', 'cabin', 'way', 'route', 'person', 'request', 'extra_legroom', 'beg', 'plane', 'allot']",13,"flight, plane, american_airlines, crew, people, airline, class, airport, problem, food"
19345,e,"['suites', 'nice', 'touch', 'perfect', 'storage', 'nonexistent', 'overhead', 'storage', 'center', 'section', 'excessive', 'bags', 'windowside', 'bins', 'mirror', 'video', 'control', 'door', 'useless', 'angle', 'video', 'screen', 'excellent', 'large', 'responsive', 'dl', 'products', 'crew', 'makes', 'flights', 'exceptional']",0.7674000263214111,"['seat', 'pitch', 'foot_traffic', 'plane']",4,"['seat', 'plane', 'foot_traffic', 'pitch']",4,"flight, window, passenger, plane, bag, people, leg_room, american_airlines, bulkhead, service"
15625,l,"['exit', 'row', 'unbelievable', 'leg', 'room', 'seats', 'slightly', 'narrower', 'possible', 'normal', 'coach', 'seat', 'tight', 'seat', 'leg', 'room', 'trade']",0.5026000142097473,"['refurbished_747', 'cabin', 'doesnt_come', 'footspace', 'equipment_box', 'disaster', 'thale', 'a380', 'ba']",9,"['footspace', 'doesnt_come', 'thale', 'cabin', 'ba', 'refurbished_747', 'disaster', 'equipment_box', 'a380']",9,"flight, service, food, passenger, plane, crew, window, business_class, class, meal"
16292,h,"['pleasantly', 'surprised', 'aa', '757', 'dubphl', 'comfy', 'leathery', 'coach', 'seats', '33', 'configuration', 'excellent', 'leg', 'room', 'plenty', 'space', 'knees', 'seat', 'room', 'stretch', 'seat', 'tote', 'bag', 'im', '58', 'legs', 'appreciated', 'two', 'negatives', 'window', 'seat', 'times', 'wall', 'plane', 'cold', 'tossing', 'coat', 'legs', 'helped', 'missed', 'having', 'entertainment', 'unit', 'plane', 'screens', 'placed', 'aisle', 'ceiling', 'pretty', 'stuck', 'watching', 'shown', 'awkward', 'having', 'peer', 'sideways']",0.5013999938964844,"['seat', '35c', 'seatguru', 'review', 'seat', 'entertainment_box', 'floor', 'space', 'box', 'flight', 'nice']",11,"['seat', '35c', 'floor', 'entertainment_box', 'review', 'flight', 'nice', 'space', 'box', 'seatguru']",10,"flight, plane, food, service, passenger, economy, staff, airline, crew, aircraft"
15846,m,"['seat', 'needs', 'replaced', 'soon', 'possible', 'seat', 'recline', 'middle', 'seat', 'slightly', 'moved', 'worst', 'experience', 'flight']",0.550000011920929,"['segment', 'seat', 'aircraft', 'ba_uses', 'aircraft', 'aircraft', 'airbus_380']",7,"['seat', 'ba_uses', 'airbus_380', 'segment', 'aircraft']",5,"flight, plane, passenger, economy, service, airline, business_class, staff, people, way"
12600,a,"['extra', 'legroom', 'advantage', 'seats', 'small', 'cramped', 'wall', 'seat', '31a', 'window', 'total', 'lack', 'comfort', 'overcramped', 'seating', 'sees', 'unable', 'avoid', 'touching', 'basically', 'low', 'budget', 'domestic', 'airline', '145', 'hours']",0.9068999886512756,"['seat', 'seat', 'carrier', 'recline', 'one_thing', 'fact', 'seat', 'rearmost', 'end', 'plane', 'engine_noisy', 'bit']",12,"['seat', 'one_thing', 'rearmost', 'engine_noisy', 'bit', 'carrier', 'end', 'fact', 'recline', 'plane']",10,"flight, airline, service, crew, passenger, american_airlines, food, airport, staff, aircraft"
14817,a,"['seats', 'comfortable', 'entertainment', 'slow', 'worked', 'wifi', 'plane', 'supposedly', 'installed', 'hooked', 'said', 'cabin', 'crew', 'comfortable', 'way', 'spend', 'hours', 'phoenix', 'honolulu']",0.6901999711990356,"['cabinet', 'range']",2,"['range', 'cabinet']",2,"flight, airline, service, crew, passenger, american_airlines, food, airport, staff, aircraft"
19986,l,"['plane', 'making', 'tremendous', 'noise', 'wrong', 'engines', 'mechanics', 'need', 'look']",0.5471000075340271,"['metal_box', 'seat', 'seat', 'seat', 'seat', 'prevents_stretching', 'leg', 'seat']",8,"['seat', 'leg', 'metal_box', 'prevents_stretching']",4,"flight, service, food, passenger, plane, crew, window, business_class, class, meal"
13506,k,"['upgraded', 'second', 'premium', 'economy', 'houston', 'paris', 'nonstop', 'purchase', 'premium', 'economy', 'type', 'plane', 'felt', 'little', 'cushion', 'seat', 'took', 'personal', 'blanket', 'normally', 'place', 'small', 'sat', 'provide', 'cushion', 'normally', 'sleep', 'long', 'flights', 'time', 'didnt', 'provide', 'room', 'maybe', 'seat', 'hard', 'spoiled', 'supposed', 'advantage', 'premium', 'economy', 'ug']",0.5353000164031982,"['room', 'seat']",2,"['seat', 'room']",2,"flight, plane, window, people, class, ticket, staff, experience, way, passenger"
